code	location	store_name	product_ean
UG	Africa/Kampala	Arua	7708372282088
CN	Asia/Shanghai	Wacheng	7190878931315
AR	America/Argentina/Ushuaia	Ushuaia	6616875981005
US	America/Los_Angeles	San Gabriel	0703994496803
SK	Europe/Bratislava	Skalica	9576661851257
US	America/New_York	Kensington	4466299887283
DE	Europe/Berlin	Wesseling	0226118753861
PK	Asia/Karachi	Fazilpur	5917293870904
US	America/Los_Angeles	Redding	7305706645399
MX	America/Mexico_City	Oaxaca	9138709149124
IN	Asia/Kolkata	Pandua	3319911209592
US	America/New_York	Keene	1015059152500
CN	Asia/Shanghai	Shuangcheng	5954826859302
FR	Europe/Paris	Marseille 11	5915650087194
DE	Europe/Berlin	Memmingen	8089232021511
RE	Indian/Reunion	Saint-Denis	9370951844185
FR	Europe/Paris	Les Olives	5689067576526
GB	Europe/London	Newbury	3710687882482
NL	Europe/Amsterdam	Vught	9584413106043
US	America/New_York	Kensington	8541385552705
HK	Asia/Hong_Kong	Tsuen Wan	8790789301765
IN	Asia/Kolkata	Srinagar	6758772428198
JP	Asia/Tokyo	Inawashiro	2275381288196
US	America/Los_Angeles	Sunnyside	6528985383511
US	America/Chicago	Kaukauna	7601965040679
DZ	Africa/Algiers	Messaad	6926983951976
CN	Asia/Shanghai	Zhoushan	1155764808351
BR	America/Maceio	Barra dos Coqueiros	0128070790994
CN	Asia/Shanghai	Ulanhot	3809732830186
HK	Asia/Hong_Kong	Tsuen Wan	6454316281051
TH	Asia/Bangkok	Yasothon	3060741383180
MG	Indian/Antananarivo	Sakaraha	1175098904215
SK	Europe/Bratislava	Hlohovec	8002394206350
US	America/Los_Angeles	Opportunity	2491535280698
ID	Asia/Jakarta	Diwek	9605669565535
PK	Asia/Karachi	Bhit Shah	1405812237252
RU	Europe/Moscow	Solntsevo	1912170088728
ES	Europe/Madrid	Leioa	9254110174958
IN	Asia/Kolkata	Manjeri	9736465002259
ES	Europe/Madrid	San Juan de Aznalfarache	4256854266918
US	America/New_York	Milledgeville	2810754459683
US	America/New_York	Keene	0108840727290
DE	Europe/Berlin	Korschenbroich	9288014779681
BR	America/Sao_Paulo	Imbituba	6227683201690
US	America/Los_Angeles	Keizer	9084224033298
TH	Asia/Bangkok	Thap Than	0424598302054
IT	Europe/Rome	Mesagne	0484345952031
NL	Europe/Amsterdam	Hardenberg	0830931093082
IL	Asia/Jerusalem	Rahat	0058908937140
CA	America/Edmonton	Sherwood Park	7308946115172
NG	Africa/Lagos	Biu	5077641609379
US	America/Chicago	New City	5493399084075
CN	Asia/Shanghai	Dongfeng	3971538185651
IT	Europe/Rome	Castelfranco Emilia	9763647120562
US	America/New_York	Lutz	8064292649134
DE	Europe/Berlin	Charlottenburg-Nord	0152572520537
US	America/Chicago	Longview	6578336817714
AU	Australia/Melbourne	Frankston South	2192914821197
DE	Europe/Berlin	Burscheid	2790651797555
RU	Europe/Moscow	Tyoply Stan	0192695945800
US	America/New_York	Front Royal	1361403359379
US	America/New_York	Harrisburg	1428035369395
BR	America/Bahia	Rio Real	4661320066433
US	America/Los_Angeles	Bothell West	7263003801743
CR	America/Costa_Rica	Liberia	6869722728388
PH	Asia/Manila	Guyong	3885338949323
GB	Europe/London	High Wycombe	5156150617317
NG	Africa/Lagos	Argungu	2861892784427
GB	Europe/London	Strood	7330759522335
IT	Europe/Rome	Chiavari	9999214109665
US	America/New_York	Middletown	6909927699301
PK	Asia/Karachi	Sangla Hill	6265273224186
US	America/Phoenix	Gilbert	6090356130289
BE	Europe/Brussels	Temse	8845754354717
RU	Europe/Moscow	Solntsevo	6042707896252
CU	America/Havana	Jaruco	1241727606130
GB	Europe/London	Bushey	6393696391465
DE	Europe/Berlin	Hofheim am Taunus	2790019844013
FR	Europe/Paris	Quimper	7467257873574
XK	Europe/Belgrade	Glogovac	5870162027154
US	America/Los_Angeles	Pahrump	5871134378694
NG	Africa/Lagos	Lagos	3923915255785
TJ	Asia/Dushanbe	Vahdat	0492700836889
IN	Asia/Kolkata	Uran	9956254061674
IL	Asia/Jerusalem	Rahat	4201779909433
PK	Asia/Karachi	Khairpur Mir’s	4155135767932
JP	Asia/Tokyo	Shimotoda	3023414917532
RU	Europe/Moscow	Solntsevo	8461904080413
MX	America/Mexico_City	Tuxtla	4307940756179
TZ	Africa/Dar_es_Salaam	Mvomero	0714989624651
IN	Asia/Kolkata	Bhayandar	5043348963922
IT	Europe/Rome	Castelfranco Emilia	5533993395976
UG	Africa/Kampala	Paidha	8079105130648
DE	Europe/Berlin	Pfullingen	1867528187793
RU	Europe/Moscow	Gudermes	5074154349433
FR	Europe/Paris	Niort	4966459958810
JP	Asia/Tokyo	Shimotoda	8016173196503
NL	Europe/Amsterdam	Hoogezand	4593188126298
DE	Europe/Berlin	Halstenbek	7736336085406
US	America/Los_Angeles	Santa Maria	4341308322095
US	America/New_York	Dublin	4393844455058
BR	America/Santarem	Altamira	8271175911589
HT	America/Port-au-Prince	Thomazeau	8101031834380
RU	Asia/Yekaterinburg	Kachkanar	3692766781858
FR	Europe/Paris	Colomiers	5333834343865
US	America/Chicago	Columbia Heights	6077748427295
BD	Asia/Dhaka	Manikchari	7981947321737
DO	America/Santo_Domingo	Santa Cruz de Barahona	2888442631604
NO	Europe/Oslo	Harstad	0326734854789
US	America/Indiana/Indianapolis	Greenfield	2305147570583
LK	Asia/Colombo	Hendala	0381711890297
CN	Asia/Shanghai	Dongfeng	3388032580484
BY	Europe/Minsk	Dobrush	2631831355779
US	America/Chicago	Hueytown	7399942606115
RU	Europe/Moscow	Buynaksk	8458205288280
US	America/New_York	Covington	7220354731327
AR	America/Argentina/Buenos_Aires	Barracas	6450949933053
ID	Asia/Jakarta	Randudongkal	9836668879013
US	America/New_York	Fort Washington	2505723804501
US	America/Los_Angeles	Santa Maria	4918355628908
DE	Europe/Berlin	Korschenbroich	8403862025716
NL	Europe/Amsterdam	Zeist	3558593462943
US	America/Los_Angeles	Bryn Mawr-Skyway	4517132818015
US	America/New_York	Sun City Center	4966291845316
TH	Asia/Bangkok	Tak Bai	0244110328597
UA	Europe/Kiev	Hlukhiv	4718767072784
JP	Asia/Tokyo	Ueno-ebisumachi	6839251732194
GH	Africa/Accra	Bibiani	0891110760287
PH	Asia/Manila	Cebu City	6989756679897
RU	Europe/Moscow	Shushary	6919374796935
GE	Asia/Tbilisi	Kobuleti	6259404526652
RU	Europe/Moscow	Severodvinsk	9074354009034
IT	Europe/Rome	Campobasso	9584937543454
IN	Asia/Kolkata	Moga	2927128673313
MQ	America/Martinique	Le Robert	3895370277346
RU	Asia/Yekaterinburg	Kuvandyk	1888393483247
US	America/Los_Angeles	Laguna Niguel	6849892793287
IN	Asia/Kolkata	Chharra	9905111734947
JP	Asia/Tokyo	Ueno-ebisumachi	4873514852283
US	America/Chicago	Bourbonnais	3409765807508
US	America/Chicago	Tyler	3341444161917
CD	Africa/Kinshasa	Kasangulu	4077516804725
DE	Europe/Berlin	Schwalmtal	8828274168149
ID	Asia/Jakarta	Wangon	3231253991815
GT	America/Guatemala	Chichicastenango	7805781754028
MY	Asia/Kuala_Lumpur	Teluk Intan	8430632511919
CN	Asia/Shanghai	Xiangtan	2045281734754
PE	America/Lima	Iquitos	8885389104745
NG	Africa/Lagos	Argungu	6017878202485
MD	Europe/Chisinau	Soroca	0655615708133
DZ	Africa/Algiers	Boumerdas	4439961932475
IN	Asia/Kolkata	Osmanabad	1250026050117
US	America/Boise	Nampa	2406175445079
IT	Europe/Rome	Francavilla Fontana	0640973060870
PK	Asia/Karachi	Fazilpur	4461754159264
CN	Asia/Shanghai	Haicheng	9264902733645
UZ	Asia/Tashkent	Andijon	2157151433473
PL	Europe/Warsaw	Reda	6250430859257
IT	Europe/Rome	Montecchio Maggiore-Alte Ceccato	6544577286787
NA	Africa/Windhoek	Okahandja	1589382507455
CN	Asia/Shanghai	Foshan	9863966365955
DE	Europe/Berlin	Gronau	8679694424656
IT	Europe/Rome	Sassari	2170985051446
MY	Asia/Kuala_Lumpur	Kampung Ayer Molek	4968155172613
FR	Europe/Paris	Le Chesnay	8424927235017
JP	Asia/Tokyo	Komono	4117328777470
FR	Europe/Paris	Marly-le-Roi	1790556282065
US	America/New_York	Leland	2006487974832
CD	Africa/Kinshasa	Kasangulu	1446164368379
US	America/Chicago	West Des Moines	3755945939225
PK	Asia/Karachi	Kanganpur	6870071376687
NL	Europe/Amsterdam	Hardenberg	4600655156693
CU	America/Havana	Media Luna	4888829201176
RU	Europe/Moscow	Zhukovka	0443950066021
PK	Asia/Karachi	Naushahra Virkan	0073917120444
FR	Europe/Paris	Bobigny	3647030538720
BR	America/Fortaleza	Guaraciaba do Norte	7704591609170
US	America/New_York	Nutley	2759129861228
FR	Europe/Paris	Colomiers	5701704410601
US	America/Los_Angeles	Watsonville	9252173256161
US	America/New_York	Woodlawn	7546334031745
ID	Asia/Jakarta	Muncar	4615463947357
PK	Asia/Karachi	Daud Khel	9358387348620
US	America/Chicago	Evergreen Park	7236553898112
CA	America/Edmonton	Sherwood Park	3232390518736
US	America/New_York	Sterling	9233058160261
LT	Europe/Vilnius	Alytus	5967752687314
BR	America/Sao_Paulo	Valinhos	6296694695170
GB	Europe/London	Gainsborough	1740321756437
DE	Europe/Berlin	Oschatz	5018239227841
BR	America/Fortaleza	Barras	8756691037710
IN	Asia/Kolkata	Aistala	2614668639779
XK	Europe/Belgrade	Glogovac	6628363565116
BE	Europe/Brussels	Lille	8495854203134
US	America/Chicago	Brentwood Estates	6000464813219
ES	Europe/Madrid	Tudela	8996597666427
PR	America/Puerto_Rico	Aguadilla	9855646806766
IN	Asia/Kolkata	Madhipura	0241685510112
IT	Europe/Rome	Somma Vesuviana	1250308323502
GB	Europe/London	Great Wyrley	1534083380166
US	America/New_York	Kensington	9409260421265
US	America/New_York	Lutz	1592885239723
BE	Europe/Brussels	Denderleeuw	8148597560285
BD	Asia/Dhaka	Kushtia	9103534671065
BR	America/Sao_Paulo	Iturama	2520372437375
US	America/Chicago	Muskogee	3801741446310
RU	Asia/Novokuznetsk	Yashkino	4677490553284
JP	Asia/Tokyo	Yamada	6103287024883
US	America/Chicago	Tyler	1811848071263
BE	Europe/Brussels	Rixensart	5941071901474
DE	Europe/Berlin	Bensheim	0500423151834
UZ	Asia/Tashkent	Andijon	2342444833638
AR	America/Argentina/Buenos_Aires	Pontevedra	6739411752973
US	America/New_York	Lutz	7197099536343
AU	Australia/Perth	Perth	3413635449521
DE	Europe/Berlin	Marburg an der Lahn	0567337957853
ID	Asia/Jakarta	Randudongkal	2182283750761
GB	Europe/London	Great Wyrley	8440988620692
CN	Asia/Shanghai	Taozhuang	2665392777992
US	America/New_York	Far Rockaway	6131307936502
CA	America/Toronto	Beaconsfield	3971229343674
ID	Asia/Jakarta	Kudus	4363853977131
DE	Europe/Berlin	Marburg an der Lahn	3690788857292
SE	Europe/Stockholm	Boo	3996583898929
TT	America/Port_of_Spain	Port of Spain	0216588919201
TZ	Africa/Dar_es_Salaam	Mvomero	2225396504415
GB	Europe/London	Penzance	4707199936184
CG	Africa/Brazzaville	Brazzaville	9423176455497
IT	Europe/Rome	Castelfranco Emilia	8938105767936
ET	Africa/Addis_Ababa	Arba Minch	7772223880259
IN	Asia/Kolkata	Leteri	0876923231087
PE	America/Lima	Iquitos	0857935877470
UA	Europe/Kiev	Kherson	2547636907641
VE	America/Caracas	Ciudad Guayana	0589448547914
CZ	Europe/Prague	Karlovy Vary	5666846051474
BO	America/La_Paz	Tupiza	6141965910349
TH	Asia/Bangkok	Tak Bai	6119259140840
IN	Asia/Kolkata	Bachhraon	0096999559377
IN	Asia/Kolkata	Jais	7045294519381
GN	Africa/Conakry	Camayenne	8215587585013
US	America/New_York	Jersey City	0230347526493
JP	Asia/Tokyo	Karatsu	5574763505768
GB	Europe/London	Chapletown	8100296517489
LK	Asia/Colombo	Hendala	6539404014374
US	America/Chicago	Ada	6225490485869
CN	Asia/Shanghai	Laiwu	4040396431022
DE	Europe/Berlin	Barmbek-Nord	0720872350460
PK	Asia/Karachi	Fazilpur	1413841883616
GB	Europe/London	Inverness	6189508809019
CU	America/Havana	Boyeros	1906973716964
US	America/New_York	Woodbridge	6683018986623
IN	Asia/Kolkata	Chharra	2034918499364
TR	Europe/Istanbul	Gaziantep	3263134625533
BY	Europe/Minsk	Dobrush	3712338884494
DK	Europe/Copenhagen	Frederiksberg	9604118086065
UZ	Asia/Samarkand	Jizzax	6081030519735
AZ	Asia/Baku	Astara	5716655442144
GM	Africa/Banjul	Farafenni	9385111305123
US	America/New_York	Scotch Plains	3865852747346
US	America/Los_Angeles	Porterville	9637572517813
NL	Europe/Amsterdam	Hoogezand	9544216147094
US	America/New_York	Mechanicsville	1869068885078
KG	Asia/Bishkek	Jalal-Abad	5158912819533
US	America/New_York	Venice	3370311157456
CN	Asia/Shanghai	Boli	0110406669906
DE	Europe/Berlin	Albstadt	6966399001971
IN	Asia/Kolkata	Sheoganj	6881928008231
AU	Australia/Sydney	Nowra	4833425617418
US	America/New_York	Belle Glade	0514555180136
BR	America/Sao_Paulo	Palmeira	1997885201006
MA	Africa/Casablanca	Oulmes	7772188576631
FR	Europe/Paris	Ajaccio	4945657666512
IN	Asia/Kolkata	Rangia	7252339019014
HK	Asia/Hong_Kong	Tsuen Wan	7378000001482
CR	America/Costa_Rica	Liberia	0575258334530
US	America/New_York	Far Rockaway	0747283340811
FR	Europe/Paris	Rueil-Malmaison	4587268209841
US	America/New_York	Scotch Plains	7493716356449
RU	Europe/Moscow	Novopavlovsk	4841379061614
MY	Asia/Kuala_Lumpur	Teluk Intan	8146076816960
IN	Asia/Kolkata	Uran	6350549604011
AU	Australia/Sydney	Eastwood	3594965456479
FR	Europe/Paris	La Garenne-Colombes	7377013122146
ES	Europe/Madrid	Gandia	5980094323023
MA	Africa/Casablanca	Oulmes	4313620661954
JP	Asia/Tokyo	Karatsu	4513698896948
GB	Europe/London	Arbroath	4214336629781
NG	Africa/Lagos	Lagos	3567463231770
PL	Europe/Warsaw	Brzeg	5619477823347
FR	Europe/Paris	Arles	9748123565815
CL	America/Santiago	Ovalle	0774244133991
PH	Asia/Manila	Burgos	2493279495321
PE	America/Lima	Minas de Marcona	7214536781002
IN	Asia/Kolkata	Amreli	5273044303641
IN	Asia/Kolkata	Gajendragarh	8962162609489
MY	Asia/Kuala_Lumpur	Kulai	7560348221220
FR	Europe/Paris	Saint-Omer	0661056459763
RU	Europe/Moscow	Zhukovka	0106014590497
CN	Asia/Shanghai	Yanliang	1418337270833
US	America/Los_Angeles	Claremont	0328538639722
US	America/New_York	Lebanon	2711204706176
GB	Europe/London	Mexborough	7151394468099
CM	Africa/Douala	Idenao	4197920170800
CN	Asia/Shanghai	Zaozhuang	5322514809821
JP	Asia/Tokyo	Iwade	1576325860388
RU	Europe/Moscow	Bavly	3041898781111
FR	Europe/Paris	Dax	0430145181508
ID	Asia/Makassar	Balikpapan	6159565425095
CA	America/Toronto	Dorval	5370100294223
JP	Asia/Tokyo	Motomachi	0828037710040
DE	Europe/Berlin	Bensheim	2113432303224
NL	Europe/Amsterdam	Hardenberg	9855907347328
RU	Europe/Moscow	Valday	1160483820096
DE	Europe/Berlin	Walsrode	3969228701847
IN	Asia/Kolkata	Gingee	5459307952867
ID	Asia/Jakarta	Ngemplak	3834153216981
RU	Europe/Moscow	Arzamas	1471720966737
IT	Europe/Rome	Somma Vesuviana	7129361955866
JP	Asia/Tokyo	Hakodate	0138382113077
US	America/Menominee	Iron River	2044519129430
US	America/Los_Angeles	Laguna Niguel	7339858699238
AR	America/Argentina/Cordoba	Rafaela	3589926786313
US	America/New_York	Greenpoint	8107006067005
GB	Europe/London	Newbury	3141889957041
UA	Europe/Kiev	Krasyliv	8202412007260
ID	Asia/Makassar	Balikpapan	2203271472554
DE	Europe/Berlin	Stade	8737208279342
DE	Europe/Berlin	Eppingen	5078469862243
GB	Europe/London	Great Wyrley	6068513028915
IN	Asia/Kolkata	Madhipura	9909600084308
SK	Europe/Bratislava	Hlohovec	4819249095984
GA	Africa/Libreville	Franceville	2270317808158
GB	Europe/London	Great Wyrley	5858166890677
MX	America/Mexico_City	Guanajuato	4899407849963
JP	Asia/Tokyo	Toba	6766022490048
DE	Europe/Berlin	Zeitz	8676462394302
CN	Asia/Shanghai	Pingyi	7583559988058
ME	Europe/Podgorica	Budva	8154028761534
US	America/Los_Angeles	North Tustin	4588328723703
KE	Africa/Nairobi	Lodwar	2542639117936
IT	Europe/Rome	Volla	1920230337655
US	America/Los_Angeles	Redding	9232483227358
US	America/Chicago	Independence	1749739049568
ES	Europe/Madrid	Ferrol	0246543163417
CN	Asia/Shanghai	Boli	2122176419276
NA	Africa/Windhoek	Okahandja	8932983369046
TZ	Africa/Dar_es_Salaam	Mvomero	0626420980007
FR	Europe/Paris	Cavaillon	8335865139179
CA	America/Glace_Bay	Sydney	0423536881460
RU	Europe/Moscow	Gudermes	8989748963292
RO	Europe/Bucharest	Sector 6	5787730838183
BE	Europe/Brussels	Temse	9293188998097
BR	America/Belem	Soure	4231691718615
PS	Asia/Hebron	East Jerusalem	0755382311519
RW	Africa/Kigali	Rwamagana	0121968364024
IN	Asia/Kolkata	Patti	9010655979256
BR	America/Sao_Paulo	Palmeira	7001837726906
GB	Europe/London	Newbury	9976618917485
IN	Asia/Kolkata	Kheda	0472534502518
US	America/Denver	Ken Caryl	1504536832030
US	America/Los_Angeles	Bryn Mawr-Skyway	9350858361831
CG	Africa/Brazzaville	Brazzaville	0000811096698
PE	America/Lima	Chosica	1919182394366
BR	America/Recife	Catende	7321950983957
CR	America/Costa_Rica	Liberia	4697539691838
TR	Europe/Istanbul	Mudanya	7807450622560
DZ	Africa/Algiers	Bordj Zemoura	3773752163251
RU	Europe/Moscow	Nizhniy Lomov	0834751109855
DE	Europe/Berlin	Trossingen	5620109610068
CN	Asia/Shanghai	Zhuangyuan	2137360646611
PH	Asia/Manila	Sorsogon	0542376461943
IN	Asia/Kolkata	Aklera	1794727638231
US	America/Chicago	Pleasant Prairie	3564820190565
US	America/Chicago	Huntley	4200372463168
RU	Europe/Moscow	Kovylkino	2764912959099
US	America/Menominee	Iron River	1552025480903
FR	Europe/Paris	Lons-le-Saunier	7519208751407
US	America/New_York	Far Rockaway	3879398431362
UZ	Asia/Samarkand	Jizzax	1326016637030
JP	Asia/Tokyo	Yao	4940353662363
IN	Asia/Kolkata	Rajaori	4750987539081
FR	Europe/Paris	Talence	7509140882987
BD	Asia/Dhaka	Manikchari	0431101506144
DE	Europe/Berlin	Bretten	5226944106331
CI	Africa/Abidjan	Bonoua	1838515943845
TW	Asia/Taipei	Magong	2546565785979
GB	Europe/London	Arbroath	2183219464424
JP	Asia/Tokyo	Shinshiro	5152613991345
GB	Europe/London	Lancing	1887046698427
JP	Asia/Tokyo	Shinshiro	1057080573633
IT	Europe/Rome	Agrigento	8805435317042
CN	Asia/Shanghai	Foshan	0438930668050
BR	America/Sao_Paulo	Alfenas	8934706733110
ID	Asia/Jakarta	Kediri	5861757074578
IN	Asia/Kolkata	Saharsa	4313397987813
RU	Asia/Yekaterinburg	Oktyabr’skiy	6198726523317
AU	Australia/Melbourne	Wheelers Hill	2866134774679
NA	Africa/Windhoek	Okahandja	5273940836922
US	America/New_York	Sterling	0470404890062
SE	Europe/Stockholm	Boo	4908022049471
CN	Asia/Shanghai	Heyuan	4986502865155
TJ	Asia/Dushanbe	Vahdat	8547586167700
FR	Europe/Paris	Rueil-Malmaison	0795437625673
IR	Asia/Tehran	Isfahan	2930701256704
RU	Europe/Moscow	Petrozavodsk	1674791209042
ES	Europe/Madrid	Las Gabias	4157679812215
GB	Europe/London	Brierley Hill	6221426497241
PK	Asia/Karachi	Jhol	7270660400585
IT	Europe/Rome	Gorgonzola	5723305524679
RU	Asia/Barnaul	Novosilikatnyy	2461315360254
AR	America/Argentina/Ushuaia	Ushuaia	7661066599506
US	America/Los_Angeles	Bothell West	9814387959056
DE	Europe/Berlin	Schleswig	6752674900127
IN	Asia/Kolkata	Sheoganj	5801501619112
US	America/Los_Angeles	Beaumont	3538805919113
NG	Africa/Lagos	Shagamu	9675556294701
CU	America/Havana	Corralillo	3120946248377
IT	Europe/Rome	Afragola	7202403715205
UG	Africa/Kampala	Kitgum	2147504301689
US	America/Chicago	New City	2020887232910
AT	Europe/Vienna	Floridsdorf	7751139814121
US	America/New_York	Bon Air	9276259401740
ID	Asia/Jakarta	Muncar	6292760071671
DE	Europe/Berlin	Bretten	9846473869437
PE	America/Lima	Chosica	7310483616678
MX	America/Mexico_City	Guanajuato	4797172282391
TZ	Africa/Dar_es_Salaam	Usagara	1958685615899
FR	Europe/Paris	Dax	9052771773684
IT	Europe/Rome	Malnate	3518248955978
IN	Asia/Kolkata	Teghra	6852833857511
ES	Europe/Madrid	Ferrol	1471497817294
DZ	Africa/Algiers	Bordj Zemoura	7166198085991
DE	Europe/Berlin	Friedberg	8210078715863
GB	Europe/London	Strood	7445201828832
NI	America/Managua	Jinotepe	8356218905890
RU	Europe/Moscow	Likhobory	3767663109187
FR	Europe/Paris	Arles	0694995939867
CO	America/Bogota	Andes	8851010568859
TN	Africa/Tunis	Beni Khiar	3478472951071
IN	Asia/Kolkata	Jais	3632929099512
US	America/Los_Angeles	Troutdale	9628979264851
US	America/Los_Angeles	Bryn Mawr-Skyway	4589075034166
PK	Asia/Karachi	Bhit Shah	6750061447507
BO	America/La_Paz	Tupiza	1606736306462
TZ	Africa/Dar_es_Salaam	Mvomero	1480206292529
LK	Asia/Colombo	Hendala	0966683736356
US	America/Detroit	Waverly	0782088578533
US	America/Chicago	Brenham	1320383633343
US	America/Chicago	Ada	9579189791777
SE	Europe/Stockholm	Boo	0313607474571
CN	Asia/Shanghai	Huangshi	8713606938760
DZ	Africa/Algiers	Cheraga	6167617030487
RU	Asia/Yakutsk	Aykhal	6887864651807
US	America/Chicago	Jackson	6958724402454
MX	America/Mexico_City	Casa Blanca	6075160432798
BR	America/Sao_Paulo	Alfenas	0751309501360
JP	Asia/Tokyo	Hakodate	5182128550270
BR	America/Bahia	Tucano	7178308932071
ES	Atlantic/Canary	Maspalomas	0987737577510
SY	Asia/Damascus	Binnish	9011799810016
IN	Asia/Kolkata	Barpeta	5055492513403
RU	Europe/Moscow	Kolomyagi	1348954460426
CN	Asia/Shanghai	Zhuangyuan	1730506549794
IT	Europe/Rome	Sassari	9557960757686
IN	Asia/Kolkata	Rangia	0822235088444
US	America/New_York	Mechanicsville	2692618116983
CN	Asia/Shanghai	Changshu City	7247232936766
PT	Europe/Lisbon	Paredes	4444321503813
US	America/Chicago	Tyler	5674218184132
DZ	Africa/Algiers	Bordj Zemoura	3029683536795
ID	Asia/Jakarta	Jambi City	7335552984410
GB	Europe/London	Clacton-on-Sea	4536360380576
VN	Asia/Ho_Chi_Minh	Sa Dec	0897540377835
MX	America/Mexico_City	Zacoalco de Torres	2135908664226
RU	Europe/Moscow	Krymsk	3039844146176
BE	Europe/Brussels	Mouscron	5273399861377
AU	Australia/Sydney	Griffith	6373320594912
GB	Europe/London	Exeter	2119686972896
MX	America/Mexico_City	Casa Blanca	9706232514070
